Kabupaten/Kota,,,,,,,,,,,,,,,,
,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Kacang-Kacangan Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,
,KACANG-KACANGAN,,Kacang tanah tanpa kulit,,Kacang kedele,,Kacang lainnya,,Tahu,,Tempe,,Oncom,,Hasil lain dari kacang-kacangan,
Kota Gunungsitoli,1096.37,1005.87,45.09,18.09,2.24,7.39,2.94,-,741.39,645.82,303.03,334.58,1.69,-,-,-
Kepulauan Mentawai,1346.8,1260.64,48.49,39.84,-,60.26,23.68,14.18,670.92,640.63,603.71,492.09,-,13.64,-,-
Pesisir Selatan,1593.86,1831.1,43.24,66.72,2.03,5.98,23.92,20.39,891.52,1018.2,627.7,714.27,5.44,5.54,-,-
Solok,2495.77,2563.74,28.76,24.09,2.65,-,104.74,40.96,1533.23,1563.83,821.57,916.41,4.82,3.69,-,14.76
Sijunjung,2014.47,2114.14,66.69,22.64,-,-,22.54,24.57,1148.56,1197.81,776.68,868.08,-,1.04,-,-
Tanah Datar,1870.24,1933.95,37.44,32.44,3.94,-,58.43,21.26,1030.87,1089.69,731.89,784.88,6.23,4.35,1.44,1.33
Padang Pariaman,1759.74,1868.52,31.17,57.24,3.21,-,34.18,22.71,1084.83,1102.13,601.76,684.47,2.06,1.96,2.53,-
Agam,1935.55,2071.33,57.78,92.66,-,-,42.79,39.93,1220.06,1251.97,613.83,686.78,1.1,-,-,-
Lima Puluh Kota,1556.4,1979.88,45.43,96.85,-,-,18.19,27.82,900.32,1101.29,578.26,750.99,1.37,2.93,12.83,-
Pasaman,1772.12,1990.27,73.7,73.14,-,6.42,141.56,52.37,912.52,1126.04,638.59,730.61,5.21,0.47,0.53,1.23
Solok Selatan,2552.97,2536.34,65.64,102.1,17.63,2.72,43.79,57.93,1487.95,1472.49,920.25,897.48,8.29,0.77,9.42,2.86
Dharmasraya,2602.3,2417.75,119.52,68.39,7.66,0.59,30.14,30.22,1410.45,1302,1034.53,1015.98,-,0.58,-,-
Pasaman Barat,1744.16,2134.62,72.15,83.43,-,3.7,4.75,10.24,926.18,1061.51,735.75,962.38,5.34,13.13,-,0.23
Kota Padang,2283.43,2612.48,53.79,66.61,0.35,7.96,50.55,45.1,1474.08,1537.43,696.67,951.58,2.53,1.69,5.46,2.11
Kota Solok,2150.08,2357.54,69.84,42.43,-,6.43,17.93,23.06,1303.46,1374.32,753.79,897.45,5.06,7.15,-,6.69
Kota Sawah Lunto,2746.26,2935.96,71.4,83.52,10.79,7.89,15.48,6.03,1445.95,1514.02,1180.47,1323.09,11.16,-,11,1.42
Kota Padang Panjang,2219.16,2234.77,109.13,99.61,4.73,3.47,40.14,46.83,1229.85,1219.12,818.38,854.3,6.53,2.05,10.39,9.39
Kota Bukittinggi,1950.92,2276.8,48.1,84.53,-,-,47.42,52.77,1143.79,1281.78,703.88,841.89,-,12.45,7.73,3.38
Kota Payakumbuh,1852.69,1821.45,67.96,71.76,1.73,-,12.12,21.66,1014.69,1022.16,754.37,701.52,0.49,4.34,1.34,-
Kota Pariaman,1820.79,1759.91,47.62,11.46,-,4.91,44.02,13.54,1114.68,1086.73,609.53,640.55,1.05,1.7,3.89,1.01
Kuantan Singingi,2188.06,2304.07,97.63,94.73,-,-,34.03,13.1,1113.67,1168.17,939.5,1020.24,3.23,7.83,-,-
Indragiri Hulu,2537.55,2382.8,110.02,59.51,3.15,-,64.22,37.64,1205.33,1171.14,1150.18,1108.38,4.65,6.14,-,-
Indragiri Hilir,2143,2006.91,89.97,152.47,-,3.08,84.77,37.32,954.61,873.92,1004.54,936.51,4.68,3.62,4.43,-
Pelalawan,2661.57,3238.95,133.58,199.98,5.52,4.6,84.76,12.65,1264,1450.79,1153.93,1541.28,19.79,24.34,-,5.3
Siak,2720.65,2670.49,135.3,229.78,47.49,15.98,71.8,30.7,1237.48,1187.51,1214.57,1183.73,8.84,3.31,5.17,19.47
Kampar,2428.27,2415.46,152.34,288.26,11.29,0.89,21.48,11.73,1164.83,1126.41,1076.08,984.26,2.25,3.91,-,-
Rokan Hulu,2451.42,2484.26,131.27,192.83,-,3.52,29.66,26.71,1173.44,1153.64,1112.08,1092.74,4.98,9.5,-,5.33
Bengkalis,2318.04,2577.44,193.04,190.96,-,1.04,22.36,42.48,1133.68,1204.6,967.21,1125.19,-,13.17,1.75,-
Rokan Hilir,2435.54,2359.5,188.47,234.12,1.73,3.45,17.22,12.98,1141.9,1094.15,1083.27,1001.59,0.9,10.74,2.07,2.47
Kepulauan Meranti,2167.67,2254.91,123.83,120.96,-,5.58,35.2,74.52,874.65,893.02,1114.84,1152.99,14.39,5.73,4.76,2.11
Kota Pekanbaru,2268.5,2724.31,66.33,102.53,-,1.9,37.43,31.38,1199.24,1441.39,965.5,1143.49,-,2.02,-,1.6
Kota Dumai,2327.7,3184.14,116.54,151.62,2.02,0.9,37.06,33.48,1006.43,1520.12,1163,1473.55,-,0.53,2.66,3.93
Kerinci,2070.74,2222.59,73.05,74.91,-,-,64.11,31.76,1111.15,1252.15,818.27,863.76,4.17,-,-,-
Merangin,1883.01,2038.48,44.57,75.88,0.99,-,28.81,17.41,967.75,1016.89,839.63,928.3,1.27,-,-,-
Sarolangun,2118,2346.65,17.81,30.04,-,0.13,35.18,31.95,1051.32,1147.3,1004.5,1134.47,9.2,2.75,-,-
Batang Hari,2375.13,2165,136.63,56.22,13.78,-,58.47,7.44,1154.48,1189.7,1002.62,903.56,6.81,8.09,2.34,-
Muaro Jambi,2857.59,2719.62,228.88,66.59,3.94,5.56,16.4,16.61,1328.47,1371.57,1259.72,1243.91,15.16,15.38,5.02,-
Tanjung Jabung Timur,2894.85,2882.79,151.57,133.62,-,-,61.32,14.38,1212.23,1276.76,1463.71,1442.08,4.56,7.7,1.47,8.26
Tanjung Jabung Barat,2460.04,2558.16,170.65,222.6,4.9,5.1,16.6,31.13,1142.23,1093.94,1121.64,1193.07,4.02,12.32,-,-
Tebo,2225.11,2489.61,39.96,47.1,-,-,27.22,34.49,1096.88,1234.71,1054.67,1171.75,4.47,1.55,1.91,-
Bungo,2131.26,2121.47,110.84,69.63,1.72,-,35,28.29,1018.9,1027.2,964.8,991.88,-,3.82,-,0.65
Kota Jambi,3038.86,3017.1,128.76,73.42,13.59,2.51,141.66,108.23,1487.84,1492.91,1245.48,1313.37,12.02,23.13,9.5,3.53
