Kabupaten/Kota,,,,,,,,,,,,,,,,
,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Kacang-Kacangan Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,
,KACANG-KACANGAN,,Kacang tanah tanpa kulit,,Kacang kedele,,Kacang lainnya,,Tahu,,Tempe,,Oncom,,Hasil lain dari kacang-kacangan,
Penajam Paser Utara,3745.94,3771.85,169.35,123.93,-,1.43,52.95,13.36,1777.55,1738.28,1744.31,1881.04,1.77,13.81,-,-
Mahakam Ulu,2848.03,3420.17,124.33,217.01,-,-,-,60.15,1287.11,1903.86,1419.93,1215.6,16.67,2.04,-,21.52
Kota Balikpapan,3399.02,4225.97,71.9,117.26,4.18,10.42,65.31,23.15,1666.65,2090.9,1588.47,1958.7,1.56,22.11,0.95,3.43
Kota Samarinda,3053.13,3797.12,145.89,146.86,3.89,14.21,129.71,42.52,1266.31,1812.04,1476.89,1776.72,28.19,4.75,2.26,-
Kota Bontang,3775.22,3520.93,151.27,120.35,-,4.79,97.89,28.85,1794.05,1698.49,1724.68,1621.99,7.33,46.46,-,-
Malinau,2009.73,2398.74,199.8,329.44,33.73,-,15.95,-,957.38,1016.57,802.87,1052.16,-,0.58,-,-
Bulungan,3520.02,3680.32,136.44,207.8,10.01,-,42.6,4.79,1686.39,1806.11,1631.26,1661.62,-,-,13.34,-
Tana Tidung,3375.96,3627.25,176.94,67.86,-,-,7.52,24.09,1607.38,1665.46,1580.6,1836.05,3.53,28.39,-,5.39
Nunukan,2278.81,2441.48,104.95,81.85,-,-,31.98,14.78,928.78,1132.31,1156.49,1210.19,52.55,2.34,4.05,-
Kota Tarakan,3370.15,3639.29,115.92,132.39,3.78,2.03,106.45,3.51,1485.9,1650.88,1573.66,1845.86,84.43,4.62,-,-
Bolaang Mongondow,2059.81,2141.16,196.66,252.05,15.93,4.11,7.81,80.2,939.23,937.5,900.18,865.38,-,1.92,-,-
Minahasa,1762.71,2218.35,47.21,40.18,2,-,35.93,33.73,1089.59,1365.75,587.97,773.79,-,4.9,-,-
Kepulauan Sangihe,916.51,1200.9,38.21,23.86,-,-,27.57,0.18,702.12,1058.74,148.61,113.66,-,-,-,4.46
Kepulauan Talaud,1839,1992.82,115.18,126.74,-,31.4,105.44,69.12,1473.37,1483.99,127.47,281.57,-,-,17.54,-
Minahasa Selatan,1983.25,2132.6,215.78,234.31,-,-,60.65,94.98,1034.91,1133.52,638.03,643.2,6.06,9.23,27.81,17.34
Minahasa Utara,2058.43,2812.56,107.3,301.67,-,9.88,32.1,183.94,1180.35,1268.61,728.41,1037.41,10.28,3.61,-,7.43
Bolaang Mongondow Utara,2051.3,1661.26,439.21,100.75,-,5.5,138.64,0.9,938.43,948.64,527.42,603.59,7.61,1.89,-,-
Siau Tagulandang Biaro,892.18,1207.11,57.13,98.32,3.74,-,7.84,3.76,698.91,922.73,122.01,182.3,2.56,-,-,-
Minahasa Tenggara,1558.68,1764.26,116.78,87.49,14.48,29.33,75.48,134.5,915.37,944.8,429.18,523.54,7.39,-,-,44.6
Bolaang Mongondow Selatan,1046.23,1221.49,119.48,235.76,10.62,3.21,7.73,57.69,553.52,632.75,354.88,292.09,-,-,-,-
Bolaang Mongondow Timur,1922.54,2401.78,92.49,297.74,16.9,3.06,20.26,25.41,994.62,1140.99,798.27,932.41,-,2.18,-,-
Kota Manado,1996.42,2661.27,85.69,44.43,-,-,58.21,98.96,1071.91,1370.32,772.79,1134.94,7.83,-,-,12.62
Kota Bitung,2333.48,2300.57,107.36,34.25,-,-,27.27,47.68,1296.89,1412.53,894.7,797.83,3.33,2.29,3.93,5.98
Kota Tomohon,2529.37,2496.62,97.15,138.1,-,6.99,141.06,106.89,1499.22,1466.8,780.62,756.98,11.32,9.16,-,11.69
Kota Kotamobagu,2151.4,1962,100.59,95.19,5.01,0.25,18.77,56.1,1039.5,908.78,978.87,894.75,4.3,6.93,4.37,-
Banggai Kepulauan,782.16,845.49,137.53,79.5,-,-,20.1,11.91,440.22,531.9,180.88,222.18,3.43,-,-,-
Banggai,2111.02,2586.97,93.75,64.89,-,18.07,56.37,47.56,1111.19,1281.54,840.15,1174.27,9.57,0.64,-,-
Morowali,2253.69,2056.25,148.58,87.81,3.27,-,26.62,8.91,991.27,997.2,1081.74,962.33,2.22,-,-,-
Poso,2657.78,2674.46,211.63,112.1,-,10.4,15.48,59.82,1258.07,1316.51,1171.87,1172.2,0.73,3.44,-,-
Donggala,1703.55,1735.43,218.28,145.28,2.96,-,14.18,49.75,774.14,789.11,690.21,749.82,3.78,0.5,-,0.97
Toli-Toli,1437.86,1964.94,222.48,198.91,-,-,58.3,-,610.67,803.16,545.45,961.28,0.21,1.59,0.76,-
Buol,1640.47,1354.7,224.28,63.21,-,-,43.07,28.45,829.28,718.9,543.83,544.14,-,-,-,-
Parigi Moutong,1869.52,2215.17,98.2,187.77,-,-,52.07,10.37,846.17,1040.12,866.11,973.46,6.96,3.44,-,-
Tojo Una-Una,1191.98,1352.22,61.4,61.98,-,-,49.34,45.63,573.77,696.49,507.47,548.12,-,-,-,-
Sigi,2290.72,2380.06,121.85,88.98,-,-,7.63,49.7,1112.36,1188.85,1048.07,1035.3,0.82,17.23,-,-
Banggai Laut,696,1052.24,68.3,78.28,1.45,11.6,1.6,-,448.29,686.32,176.35,276.04,-,-,-,-
Morowali Utara,2494.22,2760.19,278.96,260.97,4.74,-,46.47,125.88,1073.23,1249.31,1059.89,1117.74,7.17,6.29,23.76,-
Kota Palu,2615.79,2874.34,90.78,104.2,17.85,6.18,66.97,25.85,1252.95,1407.32,1184.98,1282.59,-,39.25,2.26,8.93
Kepulauan Selayar,1496.73,1405.53,504.98,379.13,7.98,-,207.8,125.01,312.64,343.32,457.28,553.18,-,-,6.04,4.89
Bulukumba,1776.39,2087.62,371.32,633.44,1.73,1.55,216.7,124.55,461.19,586.59,720.54,741.24,-,0.25,4.9,-
Bantaeng,1702.56,1668.81,416.78,251.24,10.66,12.37,56.65,70.99,481.3,565.04,731.96,769.17,5.21,-,-,-
Jeneponto,1789.85,2037.71,186.85,235.62,9.56,-,206.57,374.6,629.61,559.01,733.54,864.71,1.96,3.76,21.75,-
Takalar,1329.39,1342.72,175.67,214.7,-,-,34.37,21.31,412.05,455.04,704.3,638.55,3,13.13,-,-
Gowa,2087.03,1669.95,163.07,253.82,-,3.32,54.96,26.38,775.26,605.55,1091.79,773.34,1.96,5.51,-,2.01
Sinjai,1822.46,1649.88,558.37,245.85,9.41,14.39,60.48,214.72,553.82,608.13,630.21,566.56,10.16,0.23,-,-
Maros,1750.12,2038.1,250.67,194.28,-,3.43,50.72,33.98,690.37,822.26,758.37,980.47,-,3.44,-,0.23
Pangkajene dan Kepulauan,1811.77,1896.59,325.91,294.89,1.97,-,23.83,10.96,682.43,778.23,771.13,808.49,6.5,1.53,-,2.49
Barru,1701.73,1908.93,400.82,308.99,7.68,-,24.28,10.98,528.45,631.19,733.61,954,6.9,3.76,-,-
Bone,1307.64,1506.19,301.2,291.89,-,-,64.47,68.22,398.48,495.04,536.22,647.96,4.09,3.08,3.17,-
Soppeng,1354.37,1178.83,321.53,105.39,-,13.71,85.03,80.56,423.06,436.09,524.18,541.8,-,1.27,0.57,-
Wajo,1547.67,1385.11,337.29,283.87,-,4.65,13.64,19.59,499.62,437.87,696.61,639.14,0.52,-,-,-
Sidenreng Rappang,2402.06,1976.31,382.16,193.54,3.18,-,41.65,13.9,857.75,734.39,1117.33,1022.32,-,12.16,-,-
Pinrang,1655.79,1297.9,158.9,73.46,-,-,1.15,6.55,622.78,483.92,872.96,722.11,-,11.86,-,-
Enrekang,3588.01,3369,308.88,135.88,1.81,6.97,42.87,23.96,1730.35,1654.97,1500.33,1544.89,3.77,0.75,-,1.57
Luwu,1501.83,1526.75,193.07,197.53,-,1.8,15.1,60.63,614.58,645.93,679.08,620.84,-,-,-,-
Tana Toraja,1597.66,1643.92,91.24,13.82,6.94,-,31.78,10.8,680.12,717.65,785.46,874.33,2.11,4.81,-,22.5
Luwu Utara,2117.47,1859.74,302.28,256.99,3.91,7.7,132.61,60.96,743.76,734.28,926.82,798.96,-,0.85,8.11,-
Luwu Timur,2144.24,1895.76,227.66,332.1,3.31,-,54.63,24.03,969.32,756.14,889.33,781.19,-,2.3,-,-
Toraja Utara,1900.44,1715.66,63.35,37.31,3.6,0.38,11.06,2.66,728.31,699.77,1091.82,972.91,1.46,2.62,0.86,-
Kota Makasar,2668.86,2852.24,274.23,163.54,-,-,90.72,66.77,977.36,1167.72,1294.93,1438.66,21.79,4.22,9.82,11.33
Kota Parepare,2269.32,1703.26,191.45,48.07,-,-,66.19,8.57,861.45,624.85,1149.94,1017.27,-,4.5,0.27,-
Kota Palopo,1519.86,1844.45,111.61,153.91,-,40.34,31.85,40.61,677.28,805.98,699.11,801.57,-,2.05,-,-
Buton,842.37,790.25,20.05,34.04,-,23.81,15.57,2.35,402.82,326.01,403.93,403.1,-,0.95,-,-
Muna,1422.7,1329.52,81.02,88.06,3.15,-,32.6,15.12,677.04,686.71,628.9,539.63,-,-,-,-
Konawe,2000.9,1811.63,76.19,62.51,-,-,36.85,13.72,937.69,812.82,950.17,920.27,-,2.3,-,-
Kolaka,1713.04,1598.03,115.7,126.8,1.59,10.54,8.88,14.04,743.62,744.39,839.89,702.27,-,-,3.36,-
Konawe Selatan,2416.22,2049.53,147.14,88.32,2.06,2.83,12.46,11.21,1109.59,928.16,1144.96,1019,-,-,-,-
Bombana,1140.47,862.43,109.15,145.14,-,1.43,56.32,25.33,509.92,323.73,465.08,365.46,-,1.34,-,-
Wakatobi,611.06,510.94,40.02,11.76,-,-,30.06,16.84,240.2,228.08,300.78,254.25,-,-,-,-
Kolaka Utara,1530.44,1559.87,277.8,303.94,10.27,-,41.52,7.8,557.2,566.62,643.65,681.52,-,-,-,-
Buton Utara,974.77,817.72,126.65,50.15,-,13.1,9.98,13.01,380.51,322.31,457.64,408.97,-,-,-,10.17
Konawe Utara,1898.22,1833.22,257.03,125.69,-,-,67.78,36.24,828.49,821.06,744.93,843.25,-,-,-,6.97
Kolaka Timur,2106.54,2243.26,124.4,91.36,4.6,3.16,24.62,11.81,946.43,1053.72,993.72,1083.2,-,-,12.77,-
Konawe Kepulauan,830.71,971.24,56.71,108.97,-,6.75,12.67,3.14,337.63,336.64,423.71,515.73,-,-,-,-
Muna Barat,1327.42,1348.33,234.75,25.89,0.89,-,9.82,69.7,525.68,583.52,556.28,669.21,-,-,-,-
Buton Tengah,1497.28,1420.37,9.73,13.06,-,-,25.35,76.41,747.7,651.54,713.99,674.74,-,4.61,0.51,-
Buton Selatan,806.27,608.71,27.72,27.63,5.01,-,3.97,51.15,374.4,218.12,395.18,311.82,-,-,-,-
Kota Kendari,2323.15,2874.82,94.07,54.18,-,-,16.93,33.18,861.87,1136.77,1347.11,1650.69,-,-,3.17,-
Kota Baubau,1376.9,1258.88,65.9,29.54,5.63,7.41,29.15,45.75,528.94,506.16,747.29,668.33,-,1.69,-,-
Boalemo,1710.66,1679.94,175.39,206.1,-,5.65,16.97,13.01,960.17,954.44,558.13,500.74,-,-,-,-
Gorontalo,1926.7,1970.56,335.46,310.55,3.25,-,85.7,23.71,998.83,960.67,502.29,675.63,1.16,-,-,-
Pohuwato,1329.52,1344.26,253.44,110.09,2.41,-,35.85,32.11,686.46,755.02,344.64,447.05,6.73,-,-,-
Bone Bolango,1395.93,1348.02,200.58,304.54,14.33,8.55,20.7,1.97,738.1,680.32,422.22,352.64,-,-,-,-
Gorontalo Utara,1369.57,1245.49,428.78,194.9,47.9,-,14.62,11.97,589.01,823.91,289.25,214.72,-,-,-,-
Kota Gorontalo,1507.17,1799.08,79.82,126.06,2.8,-,26.77,17.82,807.59,916.64,590.2,738.56,-,-,-,-
Majene,1654.88,1140.03,254.49,41.08,-,-,87.48,6.19,525.71,468.74,773.68,623.14,-,0.87,13.52,-
Polewali Mandar,1524.58,1430.05,85.58,77.58,2.47,2,78.11,2.4,445.7,538.86,910.99,809.21,1.75,-,-,-
Mamasa,1162.03,1138.17,300.15,328.97,4.37,24.45,14.86,13.62,368.67,345.71,473.12,425.41,0.86,-,-,-
Mamuju,1542.86,1497.88,102.2,104.41,17.18,-,39.55,48.24,678.37,597.36,699.19,731.93,6.37,-,-,15.93
Mamuju Utara,2417.51,2763.78,255.47,466.43,-,2.93,109.89,19.57,1005.95,1047.52,1046.19,1199.96,-,8.85,-,18.53
Mamuju Tengah,2359.24,1906.09,137.15,154.69,4.07,6.73,23.04,10.4,1055.62,819.21,1136.46,911.85,1.46,3.21,1.42,-
Maluku Tenggara Barat,1121.31,926.14,274.27,247.11,-,15.07,302.08,236.73,296.97,218.81,247.98,208.41,-,-,-,-
Maluku Tenggara,830.84,1129.1,49.24,87.38,-,-,51.79,54.72,390.91,547.26,338.9,418.24,-,-,-,21.5
Maluku Tengah,1672.56,2027.81,264.8,226.45,2.09,-,30.83,37.8,781.91,993.02,573.37,770.54,14.95,-,4.61,-
Buru,2277.53,1935.52,352.34,77.59,-,-,42.13,36.36,1013.98,985.42,861.4,828.95,7.69,7.21,-,-
Kepulauan Aru,572.21,395.27,54.4,41.51,-,-,68.95,50.11,198.68,147.98,250.19,155.68,-,-,-,-
Seram Bagian Barat,870.08,1002.98,154.83,159.95,-,24.36,61.87,30.59,362.18,486.45,291.19,296.67,-,4.97,-,-
Seram Bagian Timur,802.24,906.99,239.24,226.18,-,-,56.6,29.46,298.27,376.55,208.13,274.81,-,-,-,-
Maluku Barat Daya,1870.19,889.5,359.24,58.37,28.85,-,826.01,515.11,314.99,145.62,341.1,170.4,-,-,-,-
Buru Selatan,707.42,461.48,244.55,150.58,3.43,-,13.93,60.97,257.69,168.85,187.83,81.08,-,-,-,-
Kota Ambon,2193.32,2640.85,141.86,361.25,2.81,7.37,87.66,65.32,988.98,1170.58,955.14,1036.33,-,-,16.86,-
Kota Tual,790.32,1240.64,8.61,108.65,3.53,-,21.74,11.99,364.16,556.87,392.28,511.18,-,0.15,-,51.8
Halmahera Barat,1568.98,1414.15,153.36,283.74,5.01,-,77.14,59.57,978.46,832.55,350.03,237.24,-,-,4.99,1.04
Halmahera Tengah,861.67,1262.04,126.92,126.01,-,-,31.89,1.71,480.62,794.31,222.25,340.01,-,-,-,-
Kepulauan Sula,581.16,653.26,19.37,68.26,-,-,70.13,-,351.59,412.59,134.19,172.41,-,-,5.88,-
Halmahera Selatan,691.71,731.51,186.29,81.53,-,-,20.38,224.2,352.51,331.37,132.52,76.83,-,-,-,17.57
Halmahera Utara,1709.8,1377.96,339.25,154.11,-,-,97.26,112.86,841.29,839.76,432,271.23,-,-,-,-
Halmahera Timur,2318.8,1848.06,462.75,198.96,-,-,37.98,38.76,1125.29,1049.98,669.7,560.35,-,-,23.08,-
Pulau Morotai,1570.34,1314.5,423.04,330.02,-,6.91,5.98,14.19,833.36,747.54,307.95,215.85,-,-,-,-
Pulau Taliabu,177.71,320.28,36.74,33.43,-,-,-,17.59,96.44,155.88,44.53,113.38,-,-,-,-
Kota Ternate,1539.66,1944.75,42.8,86.12,-,17,7.6,20.3,812.48,1086.62,676.78,734.72,-,-,-,-
Kota Tidore Kepulauan,1923.18,1276.42,446.79,244.68,9.38,-,35.99,35.51,958.76,643.54,447.54,352.69,-,-,24.73,-
Fakfak,1998.02,2497.21,114.74,211.79,-,24.26,54.04,125.06,754.33,1013.98,1074.91,1116.68,-,2,-,3.44
Kaimana,1271.45,1830.04,108.51,14.33,-,28.08,52.63,115.57,509.03,719.89,601.28,952.16,-,-,-,-
Teluk Wondama,1624.43,1651.56,117.61,22.43,-,-,30.15,3.13,792.25,807.06,668.59,818.94,13.12,-,2.72,-
Teluk Bintuni,3392.57,3127.76,164.67,90.12,-,6.11,38.1,-,1694.69,1606.85,1495.11,1424.68,-,-,-,-
Manokwari,3059.31,3969.15,105.99,178.54,3.78,-,30.95,25.22,1528.51,2033.39,1370.34,1716.84,3.95,15.16,15.8,-
Sorong Selatan,810.54,703.52,172.29,178.7,-,14.3,15.29,8.04,322.34,300.37,287.21,202.12,-,-,13.42,-
Sorong,3027.23,3162.24,117.34,50.85,3.93,-,52.59,24.74,1462.99,1673.18,1386.49,1406.52,3.89,6.95,-,-
Raja Ampat,1184.14,781.11,252.46,153.87,-,4.3,20.32,54.68,502.12,318.42,402.29,248.61,6.97,1.23,-,-
Tambrauw,830.36,1361.91,141.05,479.74,-,-,44.15,295.39,429.96,338.99,215.21,246.83,-,0.96,-,-
Maybrat,1855.14,2916.33,1188.91,1490.89,-,-,135.63,177.38,378.24,967.8,152.36,279.7,-,0.55,-,-
Manokwari Selatan,2851.35,3341.68,437.98,344.48,-,-,29.15,13.3,1555.26,1899.29,828.96,1084.62,-,-,-,-
Pegunungan Arfak,990.3,1021.24,334.53,205.31,-,-,338.95,1.82,206.23,606.48,110.59,198.56,-,-,-,9.06
Kota Sorong,2664.93,2756.13,169.37,195.31,11.66,6.91,149.7,41.22,1190.45,1295.2,1141.65,1208.99,2.11,3.19,-,5.31
Merauke,4416.12,4819.56,99.77,339.26,-,3.34,22.56,46.64,2255.56,2317.77,2017.03,2112.55,21.19,-,-,-
Jayawijaya,2568.06,3945.01,27.19,134.28,-,-,80.6,294.85,1405.2,2035.04,1055.07,1456.84,-,24,-,-
Jayapura,3564.82,3613.54,179.62,109.29,10.1,-,76.55,47.34,2084.44,2052.7,1204.66,1400.31,9.45,3.89,-,-
Nabire,4651.47,3714.65,198.72,43.41,6.61,2.79,6.7,18.63,2586.42,2215.7,1833.88,1430.06,17.75,4.07,1.39,-
Kepulauan Yapen,2400.98,1846.46,42.97,15.2,10.4,-,9.19,12.3,1468.16,1248.09,870.25,570.87,-,-,-,-
Biak Numfor,2368.35,1989.02,37.24,18.2,-,-,44.3,27.54,1348.71,1098.45,906.47,844.83,16.42,-,15.21,-
Paniai,4038.02,739.09,-,-,-,-,491.8,-,3546.22,327.25,-,370.75,-,-,-,41.08
Puncak Jaya,987.39,15748.46,644.05,8502.55,-,169.66,-,-,343.33,3981.06,-,3095.19,-,-,-,-
Mimika,2914.89,2732.45,87.72,29.8,-,-,47.66,37.03,1427.04,1424.29,1352.48,1235.52,-,5.81,-,-
Boven Digoel,1816.19,1889.26,5.06,17.24,-,-,-,6.45,904.48,1041.71,906.66,823.86,-,-,-,-
Mappi,577.39,809.16,30.37,-,-,-,11.19,2.47,283.49,432.04,252.34,374.64,-,-,-,-
Asmat,466.57,550.4,2.75,10.18,14.1,-,55.42,-,172.86,274.51,221.44,265.71,-,-,-,-
Yahukimo,613.03,2608.82,10.31,517.6,17.13,20.98,382.82,1780.36,175.55,246.77,27.22,43.12,-,-,-,-
Pegunungan Bintang,1339.27,362.35,435.16,136.92,427.35,91.56,-,-,209.39,86.98,267.37,46.9,-,-,-,-
Tolikara,3393.94,1500.25,2678.27,858.65,-,120.47,-,48.73,652.58,395.08,63.09,77.32,-,-,-,-
Sarmi,1567.5,1532,-,9.11,-,-,-,-,836.9,726.76,730.6,796.13,-,-,-,-
Keerom,3811.69,3315.27,14.43,227.78,-,12.28,17.51,29.52,2053.18,1672.74,1709.23,1359.59,17.33,13.35,-,-
Waropen,2426.79,1497.27,17.98,59.38,-,-,22.17,6.6,1389.69,909.69,996.95,521.6,-,-,-,-
Supiori,1980.02,2513.04,11.37,49.57,-,5.49,5.83,9.31,1174.16,1350.13,788.67,1098.54,-,-,-,-
Mamberamo Raya,751.23,289.17,31.18,6,-,-,42.93,-,223.35,170.84,453.77,112.33,-,-,-,-
Nduga,4635.43,2793.99,1001.17,423.53,-,-,-,32.17,763.94,782.41,2840.43,1555.87,29.88,-,-,-
Lanny Jaya,92.58,510.56,-,-,10.38,44.11,-,302.12,82.19,108.84,-,6.21,-,-,-,49.27
Mamberamo Tengah,402.24,725,401.54,697.66,-,-,-,16.88,-,9.56,0.7,0.91,-,-,-,-
Yalimo,2949.47,2499.19,1034.92,827.77,-,0.93,761.95,749.71,1125.02,884.76,27.13,36.01,0.45,-,-,-
Puncak,327.78,235.34,-,-,7.41,-,-,-,60.68,18.19,259.69,217.16,-,-,-,-
Dogiyai,1111.52,1756.75,231.63,809.87,46.72,15.79,225.43,203.04,472.91,425.8,134.83,300.37,-,1.87,-,-
Intan Jaya,554.35,720.62,-,-,-,-,-,-,503.37,171.8,50.99,548.82,-,-,-,-
Deiyai,749.8,596.68,-,-,-,-,83.07,-,666.73,430.09,-,166.59,-,-,-,-
Kota Jayapura,3134.49,4085.36,55.16,101.56,-,-,14.21,126.04,1924.05,2123.06,1141.07,1729.02,-,5.69,-,-
